node school_group
1 4A
2 4A
3 4A
4 4A
5 4A
6 4A
7 3B
8 3B
9 3B
10 3B
11 3B
12 3B
13 5B
14 3B
15 3B
16 3B
17 3B
18 3B
19 5B
20 3B
21 3B
22 5B
23 5B
24 3B
25 4B
26 2A
27 2A
28 2A
29 2A
30 2A
31 2A
32 2A
33 4A
34 2A
35 2A
36 4B
37 4B
38 5A
39 2A
40 2A
41 2A
42 2A
43 2A
44 Teachers
45 Teachers
46 1B
47 1B
48 1B
49 1B
50 1B
51 1B
52 Teachers
53 1B
54 1B
55 1B
56 1B
57 1B
58 1B
59 1B
60 1B
61 3B
62 1B
63 1B
64 1B
65 1B
66 1B
67 1B
68 3B
69 2B
70 2B
71 4A
72 2B
73 3B
74 2B
75 Teachers
76 2B
77 1A
78 3B
79 2B
80 3A
81 2B
82 2B
83 3A
84 3A
85 3A
86 3A
87 3B
88 4A
89 3B
90 2B
91 3B
92 3A
93 3A
94 2B
95 3A
96 2B
97 3B
98 Teachers
99 Teachers
100 3A
101 2B
102 5B
103 5A
104 1A
105 Teachers
106 1A
107 1A
108 1A
109 1A
110 3A
111 1A
112 1B
113 1A
114 1A
115 1A
116 1A
117 1A
118 1A
119 1A
120 1A
121 1B
122 3A
123 3A
124 1A
125 1A
126 1A
127 1A
128 1A
129 3A
130 1A
131 4A
132 1A
133 1A
134 3A
135 3A
136 4B
137 4B
138 4B
139 4B
140 3A
141 4A
142 4B
143 4B
144 3A
145 4B
146 3A
147 Teachers
148 4B
149 3A
150 4B
151 4B
152 4A
153 3A
154 3A
155 4B
156 2B
157 Teachers
158 2B
159 2B
160 4B
161 2B
162 3A
163 2B
164 2B
165 4B
166 4B
167 2B
168 2B
169 4B
170 2B
171 4B
172 2B
173 4B
174 2B
175 2B
176 4B
177 4B
178 2B
179 2B
180 2A
181 2A
182 2A
183 1B
184 3A
185 4B
186 2A
187 1B
188 2A
189 2A
190 2A
191 2A
192 1B
193 2A
194 5B
195 5B
196 5B
197 5B
198 5B
199 5B
200 5B
201 5B
202 5B
203 5B
204 5B
205 5B
206 5A
207 5A
208 5A
209 5A
210 5A
211 5A
212 5A
213 5B
214 5A
215 5B
216 5B
217 5A
218 5A
219 5B
220 5B
221 5A
222 5B
223 5B
224 5A
225 5A
226 5A
227 4A
228 5A
229 5A
230 4A
231 4A
232 5A
233 5A
234 4A
235 5A
236 Teachers
237 5A
238 4A
239 4A
240 4A
241 4A
242 4A
