prr,algorithm,n_communities,modularity,jaccard,nmi,nvi
0.0,infomap,29,0.44152087610191987,0.03067484662576687,0.06867512107321191,0.5525210238548732
0.0,louvain,12,0.4542957900615869,0.06298568507157465,0.022696227470364105,0.47802333353689125
0.0,leiden,12,0.4670952330636397,0.058561959895964424,0.02084916020989163,0.484637054413922
0.02,infomap,27,0.3757285444333319,0.03417796110783736,0.09488626188946969,0.532947582961206
0.02,louvain,13,0.3791499234738474,0.06818931398416886,0.04289339440207004,0.4703907401644888
0.02,leiden,12,0.39938981244849203,0.06957730357288856,0.04657125189734598,0.46153570161807794
0.04,infomap,21,0.3480727994967079,0.048024428611085405,0.0899378414323068,0.5014632868185008
0.04,louvain,11,0.33691588631131,0.07837560243343604,0.053106485301508,0.4452671788451384
0.04,leiden,11,0.36381632471566294,0.07173335480235085,0.03827603266668273,0.4571734269231098
0.06,infomap,1,0.0,0.19732441471571907,0.0,0.19558553578206417
0.06,louvain,9,0.32361630275701125,0.10662957811775614,0.11282917106546178,0.4041705692798869
0.06,leiden,9,0.3256935791701277,0.09397944199706314,0.07835137952923601,0.4208637819004893
0.08,infomap,1,0.0,0.19732441471571907,0.0,0.19558553578206417
0.08,louvain,9,0.2987502143297169,0.14652703918841528,0.19275340843437858,0.370120322581261
0.08,leiden,9,0.31903779850014324,0.15667374611991505,0.23448355195442758,0.34976624865212874
0.1,infomap,1,0.0,0.19732441471571907,0.0,0.19558553578206417
0.1,louvain,8,0.3289498890867101,0.3275515334338864,0.40663493936357503,0.2532372533261517
0.1,leiden,5,0.35132012661903766,0.5458094742321707,0.6328933272379713,0.14330836617358494
0.12,infomap,6,0.3916594300065,0.8782589724010036,0.9056922089589772,0.03787516601965915
0.12,louvain,5,0.37127511951640346,0.7018317828713916,0.7691587770158607,0.09022994526923736
0.12,leiden,5,0.3939162528465991,0.8992921492921493,0.9214825295586736,0.030709008457566148
0.14,infomap,5,0.43068116951204194,0.9485909291061206,0.9607889515775947,0.015337963089155061
0.14,louvain,5,0.429194255067629,0.9117615293228211,0.9292583489150713,0.027671609836031112
0.14,leiden,5,0.4306826876753476,0.9608994240141782,0.9712518380589719,0.011244863729032781
0.16,infomap,5,0.4587687404783566,1.0,1.0,0.0
0.16,louvain,5,0.45602521519586986,0.948607901397601,0.964671465789359,0.013817818500339071
0.16,leiden,5,0.4587687404783566,1.0,1.0,0.0
0.18,infomap,5,0.482987793549346,1.0,1.0,0.0
0.18,louvain,5,0.482987793549346,1.0,1.0,0.0
0.18,leiden,5,0.482987793549346,1.0,1.0,0.0
0.2,infomap,5,0.50381806216686,1.0,1.0,0.0
0.2,louvain,5,0.50381806216686,1.0,1.0,0.0
0.2,leiden,5,0.50381806216686,1.0,1.0,0.0
0.22,infomap,5,0.5258718604044641,1.0,1.0,0.0
