prr,algorithm,n_communities,modularity,jaccard,nmi,nvi
0.0,infomap,31,0.4389660819949281,0.028001572018078208,0.07042813250931935,0.5594872124902187
0.0,louvain,11,0.44879279374471676,0.0700535186516495,0.02784184380175404,0.46511772139868923
0.0,leiden,12,0.460181816809564,0.06197557530946249,0.027081242367841978,0.47744174612765633
0.02,infomap,25,0.37805227562734206,0.04053156146179402,0.08221696457687645,0.525083922593308
0.02,louvain,10,0.389801745533596,0.07621720006067041,0.020197707993927946,0.4489429473328239
0.02,leiden,13,0.4021505811111811,0.06229452920846329,0.0429908918432457,0.47520750996535005
0.04,infomap,23,0.34067987259594007,0.04525144975758152,0.09829379332442606,0.5097828404937883
0.04,louvain,12,0.3352903975942108,0.07365094798249879,0.054360155396282916,0.45483765574236235
0.04,leiden,11,0.3683008290486527,0.0837050855706059,0.07256584697292777,0.44016417046340267
0.06,infomap,1,0.0,0.19732441471571907,0.0,0.19558553578206417
0.06,louvain,10,0.309081239369487,0.088,0.07946882964130278,0.43425348021868043
0.06,leiden,10,0.330357098710494,0.08429242989139245,0.079726820231337,0.4353129975113795
0.08,infomap,1,0.0,0.19732441471571907,0.0,0.19558553578206417
0.08,louvain,10,0.3045866321902573,0.13558638490079045,0.17164072392738544,0.38367054867982037
0.08,leiden,9,0.3183726045537168,0.13797226207556193,0.20441664770614265,0.36200689027803973
0.1,infomap,1,0.0,0.19732441471571907,0.0,0.19558553578206417
0.1,louvain,7,0.32750721810615746,0.3796905718437473,0.4877718778562041,0.21639746554704758
0.1,leiden,6,0.3456554907019846,0.4382304562375552,0.5281590077836921,0.19333134364094462
0.12,infomap,5,0.39257397158676494,0.8204022988505747,0.8631194815378443,0.053509173587726576
0.12,louvain,5,0.38084919784582855,0.7242650625788299,0.7998277616893058,0.07820587108262476
0.12,leiden,5,0.39229988596684706,0.8029531568228105,0.840252318274606,0.06248327843638146
0.14,infomap,5,0.43068116951204194,0.9485909291061206,0.9607889515775947,0.015337963089155061
0.14,louvain,5,0.4306826876753476,0.9608994240141782,0.9712518380589719,0.011244863729032781
0.14,leiden,5,0.4302075025606353,0.9480633802816901,0.9607000194484813,0.015371953997984807
0.16,infomap,5,0.4587687404783566,1.0,1.0,0.0
0.16,louvain,5,0.4587687404783566,1.0,1.0,0.0
